Call Sign,Call Sign.1,Vessel Name,Ship Type,Flag,Vessel Max Draft,Last Port,Next Port,Current Location,Enter Location,Exit Location,IMO,Berth,ATA,EDT,ADT,ETA,WaitingTime,MaxDraft,MaxLOA,BerthLength,ATA_day_Friday,ATA_day_Monday,ATA_day_Saturday,ATA_day_Sunday,ATA_day_Thursday,ATA_day_Tuesday,ATA_day_Wednesday,EDT_day_Friday,EDT_day_Monday,EDT_day_Saturday,EDT_day_Sunday,EDT_day_Thursday,EDT_day_Tuesday,EDT_day_Wednesday,ATA_shift,EDT_shift,ATA_season_autumn,ATA_season_spring,ATA_season_summer,ATA_season_winter,EDT_season_autumn,EDT_season_spring,EDT_season_summer,EDT_season_winter,ATA_inport,Length,Gross Tonnage,Breadth,ATA_berth_delay
D5DG5,D5DG5,NAGOYA TOWER,CONTAINER,LIB,11.1,OPEN SEA,PORT KLANG,KC2,MB,MB,9233844,KC2,2024-10-10 02:35:00,2024-10-10 12:00:00,2024-10-10 12:33:00,2024-10-10 02:35:00,9.966666666666667,15.5,370.0,305.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,2,True,False,False,False,True,False,False,False,23,260.0,39941.0,32.0,0.55
3ETZ9,3ETZ9,COSMIC OAK,GENERAL / HEAVY LIFT CARGO,PAN,4.8,"QINZHOU, GX","OTHER, CHINA (COAST)",SWLA,,,9780275,SELA,2024-06-03 12:42:00,2024-06-03 23:59:00,2024-06-03 18:13:00,2024-06-03 12:42:00,5.516666666666667,7.5,400.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2,3,False,False,True,False,False,False,True,False,5,119.0,9929.0,21.0,5.766666666666667
H9YZ,H9YZ,BRENDA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PAN,12.58,VANCOUVER,"OTHER, CHINA (COAST)",CC,,,9711925,SWLA,2023-10-28 21:55:00,2023-10-29 14:01:00,2023-10-29 04:50:00,2023-10-28 21:55:00,6.916666666666667,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,3,2,True,False,False,False,True,False,False,False,7,229.0,43291.0,32.0,9.183333333333334
5LEB3,5LEB3,SOL SINGAPORE,GENERAL / HEAVY LIFT CARGO,LIB,8.7,"SHANGHAI, SH",HO CHI MINH CITY,SELA,,,9346421,SELA,2023-10-29 05:42:00,2023-10-29 18:00:00,2023-10-29 10:38:00,2023-10-29 05:42:00,4.933333333333334,7.5,400.0,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,3,True,False,False,False,True,False,False,False,5,128.0,8407.0,19.0,7.366666666666666
3ECG2,3ECG2,EVER EXPRESS,GENERAL / HEAVY LIFT CARGO,PAN,5.0,CAMPHA,NIIGATA,PT,,,9335214,SWLA,2023-10-30 00:09:00,2023-10-30 11:30:00,2023-10-30 04:21:00,2023-10-30 00:09:00,4.2,7.5,400.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,2,True,False,False,False,True,False,False,False,5,84.0,2556.0,14.0,7.15
VRLN2,VRLN2,SITC HAKATA,CONTAINER,HKG,6.0,"NANSHA, PANYU","NANSHA, PANYU",SWLA,S,TSK,9253179,SWLA,2023-11-24 05:06:00,2023-11-24 11:00:00,2023-11-24 12:02:00,2023-11-24 05:06:00,6.933333333333334,7.5,400.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1,2,True,False,False,False,True,False,False,False,2,161.0,13267.0,25.0,1.0333333333333334
HOQP,HOQP,BOHWA BANGKOK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PAN,7.2,"OTHER, CHINA (COAST)",HAIPHONG,SELA,,,9253844,SELA,2024-08-27 23:46:00,2024-08-28 11:00:00,2024-08-28 05:53:00,2024-08-27 23:46:00,6.116666666666666,7.5,400.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3,2,False,False,True,False,False,False,True,False,11,199.0,36823.0,32.0,5.116666666666666
9V6439,9V6439,ARGENT DAISY,CHEMICAL,SNG,11.4,"ZHANGJIAGANG, JS",PORT KLANG,SHELL,,,9382061,SWLA,2023-11-02 18:03:00,2023-11-03 23:59:00,2023-11-03 15:16:00,2023-11-02 18:03:00,21.216666666666665,7.5,400.0,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3,3,True,False,False,False,True,False,False,False,4,174.0,20517.0,27.0,8.716666666666667
BTJI7,BTJI7,ZHONG CHANG 528,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHR,11.38,"LIANYUNGANG, JS",TEMA,SELA,,,9567427,SELA,2024-03-30 02:16:00,2024-03-30 13:00:00,2024-03-30 08:41:00,2024-03-30 02:16:00,6.416666666666667,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1,2,False,True,False,False,False,True,False,False,7,189.0,33032.0,32.0,4.316666666666666
3E2109,3E2109,NEWSUN HARMONY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PAN,9.7,HONGAI,GENERAL SANTOS,PSSA,,,9293870,SWLA,2024-10-07 17:47:00,2024-10-08 03:00:00,2024-10-07 22:50:00,2024-10-07 17:47:00,5.05,7.5,400.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,1,True,False,False,False,True,False,False,False,19,170.0,17951.0,27.0,4.166666666666667
